"EGR","","","","","","","","","","","","","","","","","","","","",""
"BIOMEDICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","",""
"207
B M E","Dept. Total","1128","3.832","65.1","13.8","3.6","0.8","0.5","0.1","",".","6.1","0.1","7.6","",".","2.0","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","41","3.905","80.5","19.5",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Junior","","208","3.800","73.6","18.3","4.8","1.0","1.0",".","",".",".",".","1.4","",".",".",".",".",".","."
"Senior","","610","3.837","72.6","15.1","4.4","1.1","0.2","0.2","",".",".",".","6.1","",".",".","0.2",".","0.2","."
"Undergraduates","","859","3.831","73.2","16.1","4.3","1.0","0.3","0.1","",".",".",".","4.7","",".",".","0.1",".","0.1","."
"Special","","5","***","","","","","","","","","","","20.0","",".",".",".",".",".","."
"Graduate","","259","3.883","40.2","6.9","1.2",".","0.4",".","",".","25.1","0.4","17.4","",".","8.5",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","4","***","","","","","","","","","","",".","",".","25.0",".",".",".","."
"Professionals","","5","***","","","","","","","","","","",".","",".","20.0",".",".",".","."
"","Dept. Total","1128","3.832","65.1","13.8","3.6","0.8","0.5","0.1","",".","6.1","0.1","7.6","",".","2.0","0.1",".","0.1","."
