"LATIN AMER, CARIB & IBERIAN  Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","",""
"Colonial Latin America","243","001","","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","361","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Migration Lit Americas","367","001","","16","3.813","81.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","440","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","440","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LACIS","","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"525
LACIS","","Dept. Total","","41","3.733","70.7","14.6","9.8",".","2.4",".",".",".",".",".",".",".",".",".","2.4","."
