"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","",""
"Ecology of Human Happiness","201
001","106","3.538","51.9","18.9","19.8","2.8","4.7","0.9","",".",".",".","",".",".","",".","",".","0.9",".","."
"","202
001","190","3.545","61.6","10.0","13.2","8.4","5.8","1.1","",".",".",".","",".",".","",".","",".",".",".","."
"","202
002","189","3.614","61.9","15.3","12.2","5.8","4.2","0.5","",".",".",".","",".",".","",".","",".",".",".","."
"","202
102","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"SoHE Career & Leadership Dev","Course Total","380","3.580","61.8","12.6","12.6","7.1","5.0","0.8","",".",".","",".",".","",".","",".",".",".",".","."
"Theory/Perspectives Human Ecol","792
001","24","3.924","87.5","8.3","4.2",".",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"Research Methods","793
001","11","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"Human Ecology Special Topics","801
001","20","3.842","90.0",".",".",".",".","5.0","",".",".",".","",".",".","",".","",".",".","5.0","."
"","815
001","11","3.682","72.7","9.1","9.1",".","9.1",".","",".",".",".","",".",".","",".","",".",".",".","."
"","815
002","17","3.794","82.4","5.9","5.9",".","5.9",".","",".",".",".","",".",".","",".","",".",".",".","."
"","815
003","14","3.615","78.6",".",".",".","7.1","7.1","",".",".",".","",".",".","",".","","7.1",".",".","."
"Prof Skills for Comm Leaders","Course Total","42","3.707","78.6","4.8","4.8",".","7.1","2.4","",".",".","",".",".","",".","",".","2.4",".",".","."
"Capstone Seminar","980
001","8","",".",".",".",".",".",".","",".","100.0",".","",".",".","",".","",".",".",".","."
"498
INTER-HE","Dept. Total","591","3.612","63.1","12.2","12.2","5.1","4.6","1.0","",".","1.4","",".",".","",".","",".","0.2","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","36","3.333","36.1","25.0","25.0","2.8","8.3","2.8","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","104","3.565","57.7","16.3","12.5","6.7","4.8","1.9","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","217","3.616","62.2","12.9","15.7","4.6","3.7","0.9","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","129","3.612","63.6","10.9","10.1","9.3","6.2",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","486","3.557","59.7","14.0","14.2","6.2","4.9","1.0","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","12","3.538","66.7",".",".",".","25.0",".","",".",".","",".",".","",".","",".",".","8.3",".","."
"Graduate","","92","3.923","80.4","4.3","3.3",".",".","1.1","",".","8.7","",".",".","",".","",".","1.1",".","1.1","."
"Prof Yr 2","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","591","3.612","63.1","12.2","12.2","5.1","4.6","1.0","",".","1.4","",".",".","",".","",".","0.2","0.2","0.2","."
