"EGR","","","","","","","","","","","","","","","","","","","","","",""
"ENGR PROFESSIONAL DEVELO Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
348
E P D","354","3.806","73.4","17.8","4.5","0.8","0.6","0.3","",".","1.4","",".",".","",".","",".","0.3","0.8",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","20","3.923","85.0","15.0",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","53","3.926","84.9","11.3","1.9",".",".",".","",".",".","",".",".","",".","",".",".","1.9",".","."
"Senior","25","3.867","80.0","8.0","8.0",".",".",".","",".",".","",".",".","",".","",".",".","4.0",".","."
"Undergraduates","98","3.911","83.7","11.2","3.1",".",".",".","",".",".","",".",".","",".","",".",".","2.0",".","."
"Special","24","3.280","37.5","12.5","8.3","4.2","4.2","4.2","",".","20.8","",".",".","",".","",".","4.2","4.2",".","."
"Graduate","232","3.809","72.8","21.1","4.7","0.9","0.4",".","",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","354","3.806","73.4","17.8","4.5","0.8","0.6","0.3","",".","1.4","",".",".","",".","",".","0.3","0.8",".","."
