"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","552","003","","37","3.514","37.8","27.0","29.7","2.7",".",".",".","2.7",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","91","3.500","40.7","33.0","15.4","5.5","2.2",".","1.1","1.1",".",".",".",".","1.1",".",".","."
"Digital Engineering Lab","554","001","","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Circuits&Components","555","001","","70","3.371","27.1","34.3","32.9","2.9","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Prob& InfoTheory in Mach Learn","561","001","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Elec&Computer Engr","601","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610","001","","88","3.915","93.2","3.4","2.3",".",".",".","1.1",".",".",".",".",".",".",".",".","."
"","610","002","","47","3.968","95.7","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Seminar in ECE","","Course Total","","135","3.933","94.1","3.0","2.2",".",".",".","0.7",".",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","111","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","19","3.951","84.2","10.5",".",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"Grad Cooperative Educ Program","702","001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Mobile and Wireless Networking","707","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Utilty Appl-Powr Electroncs","714","001","","12","3.583","58.3","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Systems","717","001","","13","3.615","61.5","30.8",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Computational Optics & Imaging","722","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Magnetohydrodynamics","726","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Probability and Random Process","730","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics of Controlled Systems","732","003","","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Theory","740","001","","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Solid State Electronics","745","001","","19","3.763","68.4","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nanophotonics","747","001","","32","3.581","62.5","3.1","15.6","15.6",".",".",".","3.1",".",".",".",".",".",".",".","."
"Linear Waves","748","001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Coher Generatn&Particl Beam","749","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","26","3.480","23.1","50.0","19.2","3.8",".",".",".",".",".",".",".",".",".",".","3.8","."
"HPC for Apps in Engr","759","001","","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning","760","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning Ultrason Imag","778","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","","Page 134 of 478",""
