"GENDER AND WOMENS STUDIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Perspctv-Black Women Writng
677","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis I
681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis I","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Directed Study
699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Gender&Wmn Studies
720","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Emergence of GWS Field
810","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy - Gender & Women's St
840","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in GWS
860","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"950","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"950","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smnr:Topic-Gen & Women","Course Total","","10","4.000","70.0",".",".",".",".",".",".","10.0",".",".",".",".","20.0",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
