"GENERAL BUSINESS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"","106
001","","770","",".",".",".",".",".",".",".","0.1",".","98.3","1.0",".",".","0.5",".","."
"","106
002","","56","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","106
003","","403","",".",".",".",".",".",".",".",".",".","99.8","0.2",".",".",".",".","."
"","106
100","","25","",".",".",".",".",".",".",".",".",".","96.0",".",".",".","4.0",".","."
"Skills for Business Analysis","Course Total","","1254","",".",".",".",".",".",".",".","0.1",".","98.8","0.7",".",".","0.4",".","."
"","110
001","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
003","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
004","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
006","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
007","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
008","","30","3.783","80.0","6.7","3.3","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","110
009","","22","3.864","95.5",".",".",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","110
010","","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
011","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","","22","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
013","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
014","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
015","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
016","","27","3.852","92.6",".","3.7",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"","110
017","","24","3.708","79.2","8.3","4.2",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","110
018","","19","3.895","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","110
019","","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
021","","24","3.875","91.7",".","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","110
022","","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
023","","23","3.804","73.9","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","110
024","","30","3.817","86.7","6.7",".","3.3",".","3.3",".",".",".",".",".",".",".",".",".","."
"","110
025","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
026","","24","3.854","83.3","4.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
027","","26","3.904","92.3","3.8",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","110
029","","27","3.778","77.8","14.8","3.7",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"","110
030","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
032","","28","3.929","96.4",".",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","110
033","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
034","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
035","","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
036","","26","3.923","96.2",".",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","110
037","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
038","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
039","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
040","","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
041","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","","Page 48 of 478"
