"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"","101
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Textile Design","Course Total","","32","3.828","75.0","15.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals I","120
001","","124","3.837","83.9","8.1","3.2","1.6","0.8","1.6",".","0.8",".",".",".",".",".",".",".","."
"Sewn Construction I","153
001","","40","3.776","67.5","12.5","15.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","210
001","","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","","10","3.650","70.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","Course Total","","22","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221
001","","113","3.633","63.7","13.3","18.6",".","2.7","0.9","0.9",".",".",".",".",".",".",".",".","."
"Interior Design I","222
001","","31","3.839","71.0","25.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223
001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials and Finishes","224
001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","","19","3.289","47.4","21.1","15.8","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"Human-centered Design/Business","Course Total","","32","3.578","68.8","12.5","9.4","3.1",".","3.1","3.1",".",".",".",".",".",".",".",".","."
"","241
001","","15","3.867","93.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","241
002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication I","Course Total","","31","3.919","93.5","3.2",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Design Leadership Symposium","252
001","","113","3.768","82.3","6.2","6.2","0.9","0.9",".","2.7","0.9",".",".",".",".",".",".",".","."
"","253
001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","253
002","","13","3.385","46.2","15.4","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","Course Total","","22","3.455","40.9","27.3","22.7",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Cloth to Clothing","319
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Programming","321
001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327
001","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","","27","3.907","92.6",".","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","341
002","","27","3.630","59.3","29.6","3.7",".","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Design Thinking","Course Total","","54","3.769","75.9","14.8","3.7","1.9","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Hist of Arch. & Interiors I","421
001","","35","3.956","94.3",".",".","2.9",".",".",".",".",".",".",".",".",".","2.9",".","."
"History of Textiles","430
001","","34","3.530","50.0","26.5","14.7",".","2.9",".","2.9","2.9",".",".",".",".",".",".",".","."
"Color Theory and Technology","451
001","","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","","16","3.688","56.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","39","3.808","74.4","15.4","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Textile Design","528
001","","13","3.731","84.6",".",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Internship","601
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Visual Thinkng Problem Solving","620
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622
001","","32","3.891","84.4","12.5",".","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design V","626
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 171 of 478",""
