"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"278","002","","19","3.971","84.2","5.3",".",".",".",".",".","5.3",".",".",".",".",".",".","5.3","."
"Topics in German Culture","Course Total","","21","3.974","85.7","4.8",".",".",".",".",".","4.8",".",".",".",".",".",".","4.8","."
"1st Sem Dutch-Grad Stdts
311","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Literature
325","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compositn & Conversatn
337","001","","23","3.761","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to German Linguistics
351","001","","11","3.409","63.6","9.1",".","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"372","001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"372","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"German for Grad Reading I
391","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"401","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem German for Grad Stdts","Course Total","","3","***","","","","","","","","","","","","","","","",""
"402","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"402","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem German for Grad Stdts","Course Total","","3","***","","","","","","","","","","","","","","","",""
"3rd Sem German for Grad Stdts
403","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"404","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"404","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem German for Grad Stdts","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Kultur des 20. u. 21. Jh.
411","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Seminar in German Studies
676","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"College Teaching of German
720","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Teaching German
722","001","","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Pract-Teachng Undergrad Lit
723","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Contemporary German
758","001","","7","3.571","85.7",".",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Interdis W Europ Studies Sm
804","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-German Lit & Culture
947","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","3","***","","","","","","","","","","","","","","","",""
"991","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
