"LINGUISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101
001","","226","3.373","47.8","19.5","14.2","8.8","4.9","2.2","2.2","0.4",".",".",".",".",".",".",".","."
"","213
001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","213
002","","30","3.867","76.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociolinguistics","Course Total","","49","3.898","81.6","16.3","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language in Wisconsin","237
001","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Intro Ling-Descript&Theoret","301
001","","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Phonology","310
001","","36","3.431","44.4","19.4","25.0","5.6","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Morphology","322
001","","26","3.440","46.2","26.9","3.8","11.5","3.8","3.8",".","3.8",".",".",".",".",".",".",".","."
"Syntax","330
001","","19","3.000","36.8","5.3","21.1","5.3","26.3","5.3",".",".",".",".",".",".",".",".",".","."
"","351
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","","19","3.711","84.2","5.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","351
004","","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Sign Language 1","Course Total","","96","3.901","90.6","5.2","3.1",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"Survey-N Amer Indian Languages","371
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sign Language Linguistics","375
001","","27","3.778","92.6",".",".",".","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Junior Honors Tutorial","481
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Morphology","522
001","","19","3.711","68.4","21.1",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","681
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Linguistics","690
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods&Materials","800
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","977
100","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","999
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
