"CHEMICAL & BIOLOGICAL ENG","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Intro to Chemical Engineering","150","001","","96","3.688","52.1","35.4","11.5",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","60","2.858","18.3","13.3","30.0","18.3","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","25","2.780","20.0","12.0","24.0","24.0","8.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","39","3.038","23.1","12.8","35.9","5.1","23.1",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","56","3.009","25.0","14.3","25.0","19.6","12.5","1.8","1.8",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","69","3.174","15.9","36.2","26.1","13.0","7.2","1.4",".",".",".",".",".",".",".",".",".","."
"","324","001","","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","37","3.459","32.4","32.4","29.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","39","3.051","23.1","23.1","17.9","17.9","15.4","2.6",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","67","3.134","49.3","3.0","23.9","6.0","4.5","10.4","3.0",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","65","3.146","24.6","24.6","26.2","16.9","3.1","3.1","1.5",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","18","3.382","33.3","22.2","22.2","16.7",".",".",".",".",".",".",".",".","5.6",".",".","."
"Process Design","450","001","","13","3.385","38.5","15.4","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","27","3.296","25.9","44.4","7.4","7.4","14.8",".",".",".",".",".",".",".",".",".",".","."
"Energy Tech and Sustainability","512","001","","26","3.692","50.0","38.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","30","3.283","26.7","23.3","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Eng and the Community","554","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","20","3.550","65.0","10.0","10.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"","562","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","003","","15","3.808","53.3","33.3",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","562","005","","36","4.000","27.8",".",".",".",".",".",".","72.2",".",".",".",".",".",".",".","."
"","562","011","","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","86","3.659","43.0","15.1","5.8",".","3.5",".",".","32.6",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","599","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","024","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
