"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Seminar: Humanities","102
001","19","3.658","68.4","26.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Social&Natural Sci","107
001","18","3.833","88.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","130
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
005","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
006","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
007","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
008","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","130
009","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CRC First-Year Seminar","Course Total","113","3.951","97.3","0.9","0.9",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"","139
001","21","3.762","85.7","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","139
002","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","139
003","13","3.808","84.6",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","139
004","17","3.500","76.5","5.9","5.9",".",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"","139
005","13","3.269","38.5","23.1","15.4",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"Belong, Explore, Become","Course Total","81","3.675","76.5","8.6","4.9","1.2","3.7","1.2","2.5",".",".",".",".",".","1.2",".",".","."
"","144
001","32","3.547","59.4","25.0","3.1","3.1","3.1","6.3",".",".",".",".",".",".",".",".",".","."
"","144
002","47","3.574","70.2","14.9","2.1","2.1","6.4",".","4.3",".",".",".",".",".",".",".",".","."
"","144
003","35","3.443","57.1","17.1","5.7","8.6","8.6",".","2.9",".",".",".",".",".",".",".",".","."
"Success in Your Math Course","Course Total","114","3.526","63.2","18.4","3.5","4.4","6.1","1.8","2.6",".",".",".",".",".",".",".",".","."
"","145
001","269","3.911","91.4","3.7","3.0",".","1.5","0.4",".",".",".",".",".",".",".",".",".","."
"","145
002","144","3.912","91.0","3.5","1.4",".","2.8",".",".",".",".",".",".",".",".","1.4",".","."
"","145
003","182","3.904","90.7","3.3","2.2",".",".","1.1","0.5",".",".",".",".",".",".","2.2",".","."
"How to Succeed in College","Course Total","595","3.909","91.1","3.5","2.4",".","1.3","0.5","0.2",".",".",".",".",".",".","1.0",".","."
"","157
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
002","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"","157
003","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
004","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
005","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
007","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"","157
008","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
009","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".",".","."
"","157
010","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"","157
011","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
012","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","139","",".",".",".",".",".",".",".",".",".","97.1","2.2",".",".",".",".","."
"","210
001","21","3.881","90.5","4.8",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","210
002","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","19","3.658","84.2",".",".","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
