"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"990","110","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","124","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","192","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","200","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","215","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","227","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","242","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","261","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","268","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","270","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","299","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","57","",".",".",".",".",".",".",".","73.7",".",".",".","26.3",".",".",".","."
"992","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"992","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","004","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","005","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","79","3.991","97.5",".","1.3",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"Statistical Consulting
998","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
