"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People
123","001","","95","3.753","69.5","15.8","6.3","2.1","1.1",".","1.1","2.1",".",".",".",".",".",".","2.1","."
"General Botany
130","001","","114","2.772","23.7","3.5","28.1","5.3","33.3","6.1",".",".",".",".",".",".",".",".",".","."
"Introductory Biology
151","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology
152","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Plants and Humans
240","001","","36","3.457","52.8","5.6","27.8","5.6","2.8","2.8",".","2.8",".",".",".",".",".",".",".","."
"Introductory Ecology
260","001","","62","3.621","58.1","16.1","19.4","4.8","1.6",".",".",".",".",".",".",".",".",".",".","."
"Rainforests and Coral Reefs
265","001","","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Anatomy
300","001","","23","3.455","56.5",".","26.1",".","13.0",".",".","4.3",".",".",".",".",".",".",".","."
"Algae
330","001","","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography
338","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grassland Ecology
370","001","","85","3.906","89.4","4.7","3.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Systematics
400","001","","41","3.638","63.4","7.3","19.5","4.9","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Dendrology
402","001","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Collectns&Identifictn
403","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology
410","001","","14","2.857","35.7",".","28.6","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin
455","001","","33","3.407","39.4","6.1","27.3","6.1",".","3.0",".","18.2",".",".",".",".",".",".",".","."
"General Ecology
460","001","","31","3.339","29.0","29.0","29.0","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"499","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology
651","001","","16","3.500","50.0","25.0","6.3","6.3",".","6.3",".","6.3",".",".",".",".",".",".",".","."
"Biology and Genetics of Fungi
655","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","6","",".",".",".",".",".",".",".",".",".",".",".","83.3",".",".","16.7","."
"Senior Thesis
692","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 203 of 478",""
