"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","101
002","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","18","3.472","66.7","5.6","11.1",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","101
005","","19","3.711","73.7","10.5","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
006","","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","","20","3.526","30.0","50.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0","."
"First Semester French","Course Total","","98","3.655","63.3","16.3","12.2","3.1","3.1","1.0",".",".",".",".",".",".",".",".","1.0","."
"","102
001","","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","17","3.441","64.7","17.6","5.9",".",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"","102
003","","13","3.192","7.7","46.2","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","","61","3.574","59.0","21.3","11.5","1.6","3.3","1.6","1.6",".",".",".",".",".",".",".",".","."
"","203
002","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","","14","3.357","35.7","42.9","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","203
004","","18","3.222","38.9","27.8","11.1","5.6","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","203
005","","22","3.568","54.5","22.7","9.1","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","","69","3.471","47.8","29.0","11.6","4.3","4.3",".","2.9",".",".",".",".",".",".",".",".","."
"","204
001","","22","3.568","45.5","31.8","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","25","3.880","84.0","12.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","","68","3.772","69.1","20.6","5.9","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"French Lit & Interdis Studies","211
001","","141","3.709","61.0","24.8","7.1","4.3","1.4",".",".",".",".",".",".",".",".",".","1.4","."
"","228
001","","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","","26","3.519","34.6","46.2","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","228
003","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","69","3.725","58.0","33.3","5.8","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Comics & Film in French","Course Total","","36","3.875","77.8","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Doctors without Borders","288
001","","113","3.860","78.8","16.8","0.9",".","0.9","0.9",".","0.9",".",".",".",".","0.9",".",".","."
"","311
001","","23","3.696","47.8","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","","25","3.760","60.0","32.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Composition and Speaking","Course Total","","48","3.729","54.2","37.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl&Early Mod French Lit","321
001","","23","3.864","82.6",".","13.0",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Modern French&Francophone Lit","322
001","","25","3.660","64.0","28.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Medievl &Early Mod Culture","347
001","","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"French/Francophone Cultrl Stdy","462
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of French","820
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Literature Questions","947
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Literature Questions","948
001","","10","3.688","30.0","50.0",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"","990
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 250 of 478",""
