"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","990
203","1","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Research","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","Dept. Total","128","4.000","53.9","",".","",".","",".","",".","",".","",".","44.5","",".",".","",".","",".","",".",".","1.6","."
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","4.000","90.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","10.0","."
"Junior","","20","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","37","4.000","97.3","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","2.7","."
"Undergraduates","","67","4.000","97.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","3.0","."
"Graduate","","4","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","57","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","57","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","128","4.000","53.9","",".","",".","",".","",".","",".","",".","44.5","",".",".","",".","",".","",".",".","1.6","."
