"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","210
004","19","3.684","73.7","5.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","210
005","15","3.600","66.7","13.3",".","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","210
006","18","3.861","88.9",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","20","3.800","95.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","210
008","21","3.738","81.0",".","4.8","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","210
009","20","3.825","80.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","210
010","19","3.632","89.5",".",".",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"","210
011","16","3.156","62.5",".","12.5","6.3",".","12.5","6.3",".",".",".",".",".",".",".",".","."
"","210
012","21","3.619","71.4","4.8","9.5","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","230","3.711","81.3","4.3","3.9","4.8","2.6","1.7","1.3",".",".",".",".",".",".",".",".","."
"Communicating About Careers","215
001","137","3.814","86.1","8.0","2.2",".",".","2.2","1.5",".",".",".",".",".",".",".",".","."
"","250
001","17","3.829","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","18","3.825","88.9","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","250
003","16","3.922","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","17","3.846","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","17","3.919","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","16","3.878","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","16","3.914","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","15","3.824","80.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","148","3.882","83.8","11.5","3.4","0.7",".","0.7",".",".",".",".",".",".",".",".",".","."
"Bradley Peer Mentor Course","257
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","260
001","54","3.917","92.6","1.9","3.7",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Social Sci Problem","601
001","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Appl Social Sci Analysis","602
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
