"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"563","007","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab I","Course Total","","67","3.746","55.2","38.8","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"564","001","","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"564","003","","12","3.583","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"564","004","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab II","Course Total","","30","3.700","56.7","33.3","3.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Symmtry/Bondng/Molec Shapes
608","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"624","001","","11","3.318","27.3","45.5","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"624","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Electrochemistry","Course Total","","12","3.357","33.3","41.7","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"Topics-Analytical Chemistry
630","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chem Instrumentatn: NMR
636","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry
641","001","","19","3.632","47.4","31.6","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem of Nanoscale Materials
653","001","","15","3.533","40.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Chem & Stat Thermodynamics
661","001","","14","3.462","28.6","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Biophysical Chemistry
665","001","","98","3.265","42.9","11.2","23.5","9.2","11.2",".","2.0",".",".",".",".",".",".",".",".","."
"Biophysical Spectroscopy
668","001","","32","3.872","71.9","25.0",".",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Intro Quantum Chemistry
675","001","","16","3.656","62.5","25.0",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","171","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"691","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","6","3.905","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
