"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","379","3.269","28.5","23.0","27.2","18.2","2.6","0.3","0.3",".",".",".",".",".",".",".",".","."
"","102
001","36","3.069","25.0","8.3","36.1","16.7","13.9",".",".",".",".",".",".",".",".",".",".","."
"","102
002","34","3.176","29.4","8.8","41.2","8.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","102
003","38","3.092","31.6","13.2","26.3","10.5","13.2","5.3",".",".",".",".",".",".",".",".",".","."
"","102
004","36","3.194","27.8","22.2","27.8","11.1","8.3","2.8",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","144","3.132","28.5","13.2","32.6","11.8","11.8","2.1",".",".",".",".",".",".",".",".",".","."
"","150
001","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","25","3.940","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","16","3.781","81.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Microbiomes First-Year Sem","Course Total","63","3.905","88.9","6.3","3.2",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"","299
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
100","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
101","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","221","3.118","35.3","13.6","20.8","4.5","23.1","1.8","0.5",".",".",".",".",".",".",".","0.5","."
"","304
001","35","3.543","51.4","14.3","28.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","304
002","36","3.319","44.4","5.6","38.9","2.8","5.6",".","2.8",".",".",".",".",".",".",".",".","."
"","304
003","36","3.375","50.0","8.3","27.8","5.6","5.6",".","2.8",".",".",".",".",".",".",".",".","."
"","304
004","37","3.419","40.5","13.5","37.8","5.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","144","3.413","46.5","10.4","33.3","4.2","4.2",".","1.4",".",".",".",".",".",".",".",".","."
"","305
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","324
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","5","***","","","","","","","","","","","","","","","",""
"Food Microbiology","325
001","23","3.217","43.5","8.7","26.1",".","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"Environmental Microbiology","425
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micro Genetics & Mol Machines","470
001","50","3.580","42.0","34.0","22.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","63","3.246","38.1","12.7","25.4","11.1","11.1","1.6",".",".",".",".",".",".",".",".",".","."
"Adv Lab Techniques - Microbio","527
001","68","3.324","30.9","7.4","58.8","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","19","3.806","63.2","26.3","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Cellular Metabolomics","626
001","21","3.875","76.2","14.3","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","681
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 10 of 478"
