"GENDER AND WOMENS STUDIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100
001","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"Gender, Women & Society-Global","102
001","236","3.851","82.2","12.3","2.5","1.3","0.4",".","0.8",".",".",".",".",".","0.4",".",".","."
"","103
001","390","3.899","87.7","7.4","3.3","0.5","0.8","0.3",".",".",".",".",".",".",".",".",".","."
"","103
002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
003","13","3.864","69.2","7.7","7.7",".",".",".",".",".",".",".",".",".","7.7","7.7",".","."
"Gender Women Bodies and","Course Total","424","3.903","87.7","7.1","3.3","0.5","0.7","0.2",".",".",".",".",".",".","0.2","0.2",".","."
"Women's Writing","144
001","66","3.864","83.3","9.1","6.1",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Gender, Sexuality & Ed Policy","160
001","32","3.688","68.8","25.0",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200
001","100","3.816","86.0","4.0","2.0","2.0","2.0","1.0","1.0",".",".",".",".",".",".","2.0",".","."
"German Women Writers-Tran","270
001","22","3.841","81.8","13.6",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Women, Gender and Religion","305
001","27","3.370","33.3","33.3","22.2","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Gender and Communication","316
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Gender, Women & Society","320
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
001","35","3.714","68.6","14.3","8.6","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"","340
002","40","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","Course Total","75","3.853","82.7","9.3","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Queer Bodies","343
001","38","3.784","81.6","5.3","7.9",".",".",".","2.6",".",".",".",".",".","2.6",".",".","."
"Bi/Pan/Asexuality","344
001","32","3.633","62.5","15.6","3.1","3.1","9.4",".",".","3.1",".",".",".",".","3.1",".",".","."
"Narrating Queer Lives","345
001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","350
002","23","3.870","87.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","Course Total","26","3.880","84.6","3.8","3.8","3.8",".",".",".",".",".",".",".",".","3.8",".",".","."
"Women in the Classical World","351
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender and Visual Culture","410
001","19","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Queer Art & Visual Culture","412
001","39","3.897","89.7","2.6","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Gender Sexuality & the Media","418
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Crime, Gender and Justice","425
001","21","2.976","4.8","28.6","33.3","23.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","449
001","38","3.750","60.5","28.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
002","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
003","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Feminist Theory","Course Total","93","3.860","79.6","12.9","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feminist Geography Theory","504
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Environment of the Womb","527
001","43","4.000","93.0",".",".",".",".",".",".",".",".",".",".",".","7.0",".",".","."
"","528
001","38","3.500","42.1","34.2","13.2","2.6","7.9",".",".",".",".",".",".",".",".",".",".","."
"","528
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sexuality and Science","Course Total","43","3.547","46.5","32.6","11.6","2.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"Women's Global Health","535
001","36","3.900","86.1","5.6","2.8","2.8",".",".",".",".",".",".",".",".","2.8",".",".","."
"Topics in Gender and Health","539
001","37","3.386","54.1","16.2","5.4","2.7","10.8","2.7","2.7",".",".",".",".",".","5.4",".",".","."
"Capstone Smr in Gender & Wm St","640
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
