"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"355","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"355","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"355","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"355","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Asian Language","Course Total","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"357","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Asian Language","Course Total","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Conversation
376","001","","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"378","001","","21","3.667","42.9","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"378","002","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Conversation","Course Total","","36","3.736","55.6","36.1","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Korean
405","001","","10","3.611","60.0","10.0","10.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"421","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"421","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"421","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"421","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"421","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"7th Semester Asian Language","Course Total","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Readings Japanese
451","001","","14","3.714","78.6","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Ad Chin: Rd & Writ
457","001","","19","3.789","84.2","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"5th Semester SE Asian Language
507","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv. Reading in Asian Language
560","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
