"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Data Sci Programming II","Course Total","462","3.723","69.7","17.5","8.4","1.5","1.1","0.9","0.9",".",".",".",".",".",".",".",".","."
"","352
001","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","352
002","8","3.429","37.5",".","50.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Digital System Fundamentals","Course Total","15","3.429","40.0","13.3","33.3",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"","354
001","155","2.919","17.4","12.9","34.2","17.4","12.9","5.2",".",".",".",".",".",".",".",".",".","."
"","354
002","182","2.942","19.8","14.3","33.0","15.9","9.9","6.6","0.5",".",".",".",".",".",".",".",".","."
"","354
003","130","3.073","17.7","17.7","40.0","13.8","9.2","1.5",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","467","2.971","18.4","14.8","35.3","15.8","10.7","4.7","0.2",".",".",".",".",".",".",".",".","."
"","368
001","34","",".",".",".",".",".",".",".",".",".","91.2","8.8",".",".",".",".","."
"","368
002","85","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"Learn a Programming Language","Course Total","119","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","400
001","241","3.158","27.4","23.2","27.8","10.8","5.4","3.7","1.7",".",".",".",".",".",".",".",".","."
"","400
002","145","3.207","30.3","21.4","31.0","9.0","2.1","4.8","1.4",".",".",".",".",".",".",".",".","."
"","400
003","252","3.173","27.8","23.8","24.2","13.5","4.4","4.0","1.2",".",".",".",".",".","0.8",".",".","0.4"
"","400
010","55","3.609","50.9","23.6","21.8","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Programming III","Course Total","693","3.209","30.0","23.1","26.7","10.8","3.9","3.8","1.3",".",".",".",".",".","0.3",".",".","0.1"
"Introducing Comp Sci to K-12","402
001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","407
001","167","3.746","61.1","30.5","7.8",".",".",".","0.6",".",".",".",".",".",".",".",".","."
"","407
002","150","3.780","68.7","26.7","3.3",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Found of Mobl Systms&Applctns","Course Total","317","3.762","64.7","28.7","5.7",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","39","2.795","23.1","15.4","17.9","10.3","20.5","12.8",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","34","2.853","32.4",".","26.5","5.9","29.4","2.9","2.9",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","46","3.233","34.8","15.2","28.3","8.7","6.5","4.3",".",".",".",".",".",".",".",".","2.2","."
"","475
001","8","2.750","37.5","25.0",".",".","12.5","12.5","12.5",".",".",".",".",".",".",".",".","."
"","475
002","12","2.542","8.3","16.7","25.0","8.3","25.0","16.7",".",".",".",".",".",".",".",".",".","."
"","475
003","18","3.361","55.6","11.1","11.1","5.6","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","38","2.974","36.8","15.8","13.2","5.3","15.8","10.5","2.6",".",".",".",".",".",".",".",".","."
"CS Education","502
001","30","3.867","96.7",".",".",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Software Engineering","506
001","79","3.782","68.4","20.3","8.9",".","1.3",".",".","1.3",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","11","2.700","27.3",".","18.2","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".","9.1"
"","524
001","47","2.979","23.4","23.4","17.0","14.9","14.9","4.3","2.1",".",".",".",".",".",".",".",".","."
"","524
002","54","3.204","20.4","29.6","27.8","14.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","Course Total","101","3.099","21.8","26.7","22.8","14.9","10.9","2.0","1.0",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","29","2.821","13.8","20.7","27.6","6.9","20.7","3.4","3.4",".",".",".",".",".","3.4",".",".","."
"","532
001","80","3.394","43.8","17.5","22.5","13.8",".","1.3","1.3",".",".",".",".",".",".",".",".","."
"","532
002","20","3.500","60.0","15.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","100","3.415","47.0","17.0","21.0","12.0",".","1.0","2.0",".",".",".",".",".",".",".",".","."
"Image Processing","533
001","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","537
001","133","3.273","37.6","22.6","21.1","4.5","9.8","1.5","2.3",".",".",".",".",".","0.8",".",".","."
"","537
002","184","3.339","37.5","25.0","14.7","9.8","7.1","1.1","1.1","1.6",".",".",".",".","2.2",".",".","."
"Intro to Operating Systems","Course Total","317","3.311","37.5","24.0","17.4","7.6","8.2","1.3","1.6","0.9",".",".",".",".","1.6",".",".","."
