"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forests of the World","100","001","51","3.902","94.1",".","3.9",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"Forum on the Environment","101","001","101","3.822","81.2","6.9","7.9","3.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Climate and Climate Change","102","001","79","3.513","49.4","22.8","15.2","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Agroecology of Food and Ag","103","002","33","3.803","72.7","21.2","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","54","3.704","53.7","37.0","7.4",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Environment & Social Sciences","112","001","224","3.522","38.8","40.6","13.4","3.6","1.8","0.4","0.9",".",".",".",".",".","0.4",".",".","."
"GreenHouse Roots Seminar","117","001","61","3.836","86.9",".","9.8",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","56","3.143","21.4","21.4","39.3","7.1","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Environmental Physical Systems","127","001","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","114","3.765","68.4","21.9","6.1","1.8",".",".","0.9",".",".",".",".",".","0.9",".",".","."
"Literature and the Environment","153","002","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","002","7","3.500","42.9","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","201","003","8","3.063","37.5","37.5",".",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","20","3.350","40.0","40.0","5.0",".","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"Topics: Environmental Studies","203","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Our Planet, Our Health","205","001","68","3.961","89.7","1.5","2.9",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"Intro to Sustainability Sci","255","001","57","3.246","49.1","12.3","19.3","5.3","5.3","3.5","5.3",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","50","3.765","70.0","14.0","12.0",".","2.0",".",".",".",".",".",".",".",".","2.0",".","."
"IndigenousPeoples&Environment","306","001","98","3.740","71.4","11.2","11.2","3.1",".",".","1.0",".",".",".",".",".",".",".","2.0","."
"Limnology-Aquatic Resources","315","001","36","3.472","50.0","13.9","25.0","2.8","8.3",".",".",".",".",".",".",".",".",".",".","."
"","317","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","002","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comm Envir Scholars Seminar","","Course Total","37","3.946","89.2","10.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Systems & LCA","326","001","29","3.897","96.6",".",".",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"Environmental History: Europe","328","001","17","3.118","5.9","41.2","41.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","36","3.414","38.9","36.1","5.6","5.6","8.3","2.8",".","2.8",".",".",".",".",".",".",".","."
"Past Climatic Environments","335","001","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","33","3.364","36.4","33.3","12.1","9.1","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"Caring for Native Nature","345","001","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","35","3.529","51.4","11.4","31.4","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","367","001","29","3.345","27.6","37.9","27.6","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"","367","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","","Course Total","30","3.333","26.7","36.7","30.0","3.3",".",".","3.3",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","16","3.031","12.5","25.0","43.8","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Sustainability Cmty Engagement","398","001","36","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","399","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 176 of 478",""
