"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","100
001","99","3.954","93.9","1.0","4.0",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"","100
002","100","3.855","89.0","3.0","3.0","2.0","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"","100
003","54","3.889","92.6",".","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","100
004","52","3.817","88.5","1.9","3.8","3.8",".",".","1.9",".",".",".",".",".",".",".",".","."
"Disability and Society","Course Total","305","3.887","91.1","1.6","3.6","1.3","1.3","0.3","0.3",".",".",".",".",".","0.3",".",".","."
"","121
001","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","121
002","39","3.859","87.2","5.1","2.6","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Disability and Substance Abuse","Course Total","78","3.929","93.6","2.6","1.3","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"","125
001","59","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","58","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health & Rhabilitatn Prfessns","Course Total","117","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Disability & Crim Justice Syst","135
001","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Special Education","200
002","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","73","3.979","95.9","4.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","59","3.949","93.2","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","51","3.853","80.4","15.7",".","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","183","3.934","90.7","7.1","1.1","0.5","0.5",".",".",".",".",".",".",".",".",".",".","."
"","310
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","22","3.614","77.3","4.5","9.1",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Positive Psych and Well Being","Course Total","70","3.879","92.9","1.4","2.9",".","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"","316
001","45","3.830","84.4","6.7","4.4",".",".",".","2.2",".",".",".",".",".","2.2",".",".","."
"","316
002","44","3.852","81.8","9.1","6.8","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Health Prmtion Disab & Illness","Course Total","89","3.841","83.1","7.9","5.6","1.1",".",".","1.1",".",".",".",".",".","1.1",".",".","."
"","320
001","33","3.712","75.8","6.1","6.1","9.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","320
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Teaching Special Ed","Course Total","48","3.802","83.3","4.2","4.2","6.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"","325
001","30","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","29","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Self Mngmt Illness, Disability","Course Total","59","3.924","88.1","8.5","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behav Analys:Person-Disabilty","330
001","32","3.891","78.1","21.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","335
001","35","3.956","88.6","8.6",".",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"Tching Math in Inclusive Set","365
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Intersection & Equity","406
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Overview ECSE","435
001","24","3.438","66.7",".","4.2","12.5","16.7",".",".",".",".",".",".",".",".",".",".","."
"ECSE Methods Presch & Early El","460
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","465
001","22","3.682","59.1","22.7","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","465
002","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Inst for Stdt with Dis","Course Total","39","3.731","66.7","15.4","15.4","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","466
001","31","3.968","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","466
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 83 of 478",""
