"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Probability for Actuaries","300
001","33","",".",".",".",".",".",".",".",".","",".","","93.9","6.1",".","","",".",".",".","."
"","303
001","47","3.391","38.3","29.8","14.9","8.5","4.3",".","2.1",".","",".","",".",".",".","","",".",".","2.1","."
"","303
002","2","***","","","","","","","","","","","",".",".",".","","",".",".",".","."
"Theory of Interest","Course Total","49","3.313","36.7","28.6","14.3","8.2","6.1","2.0","2.0","",".","",".",".",".","",".","",".",".","2.0","."
"Actuarial Statistics for Risk","640
001","17","3.529","23.5","64.7","5.9","5.9",".",".",".",".","",".","",".",".",".","","",".",".",".","."
"Fund Long-Term Actuarial Model","650
001","21","3.429","52.4","19.0","4.8","9.5","14.3",".",".",".","",".","",".",".",".","","",".",".",".","."
"Adv Long-Term Actuarial Model","651
001","21","3.405","42.9","23.8","14.3","9.5","9.5",".",".",".","",".","",".",".",".","","",".",".",".","."
"Fund Short-Term Actuarial Modl","652
001","39","3.308","38.5","12.8","33.3","12.8",".",".","2.6",".","",".","",".",".",".","","",".",".",".","."
"Adv Short-Term Actuarial Model","653
001","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".","",".","",".",".",".","","",".",".",".","."
"Health Analytics","655
001","16","3.633","43.8","31.3","18.8",".",".",".",".",".","",".","",".",".",".","","",".","6.3",".","."
"242
ACT SCI","Dept. Total","207","3.402","32.9","23.2","14.5","7.2","3.9","0.5","1.0","",".","",".","15.0","1.0","",".","",".","0.5","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Sophomore","","30","3.500","33.3","16.7","20.0","6.7",".",".",".","",".","",".","23.3",".","",".","",".",".",".","."
"Junior","","52","3.313","21.2","13.5","13.5","9.6","3.8",".",".","",".","",".","38.5",".","",".","",".",".",".","."
"Senior","","101","3.541","39.6","34.7","14.9","4.0","3.0",".",".","",".","",".","4.0",".","",".","",".",".",".","."
"Undergraduates","","184","3.482","33.2","25.5","15.2","6.5","2.7",".",".","",".","",".","16.8",".","",".","",".",".",".","."
"Special","","22","2.737","31.8","4.5","9.1","13.6","13.6","4.5","9.1","",".","",".",".","9.1","",".","",".",".","4.5","."
"Graduate","","1","***","","","","","","","","","","","",".",".","",".","",".","100.0",".","."
"","Dept. Total","207","3.402","32.9","23.2","14.5","7.2","3.9","0.5","1.0","",".","",".","15.0","1.0","",".","",".","0.5","0.5","."
