"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","10","4.000","80.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","20.0","."
"Junior","58","3.993","94.8","1.7","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","3.4","."
"Senior","86","4.000","98.8",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.2","."
"Undergraduates","156","3.997","96.2","0.6","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","3.2","."
"Graduate","47","",".",".","",".","",".","",".","",".","",".","91.5","","",".",".","",".","","6.4","",".",".","2.1","."
"Prof Yr 2","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","10","",".",".","",".","",".","",".","",".","",".","90.0","","",".",".","",".","10.0","","",".",".",".","."
"Prof Yr 4","367","",".",".","",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Professionals","378","",".",".","",".","",".","",".","",".","",".","","99.7","",".",".","",".","","0.3","",".",".",".","."
