"L&S","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"600
MATH","Dept. Total","10712","2.961","31.1","12.9","23.6","7.5","14.7","6.0","2.8","0.4","",".","0.3","",".","0.1","0.4","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3380","2.957","28.0","14.1","25.0","9.1","15.1","5.7","2.7",".","",".",".","",".",".","0.3","0.0",".","."
"Sophomore","","3586","2.918","29.7","11.9","25.6","6.4","16.4","6.8","3.0",".","",".",".","",".",".","0.3",".",".","."
"Junior","","1833","2.817","27.1","11.9","24.6","7.9","15.5","8.4","3.5",".","",".","0.4","",".",".","0.6","0.1",".","."
"Senior","","1132","2.970","30.6","13.6","21.3","8.7","14.6","4.8","3.2","0.4","",".","2.0","",".","0.3","0.4","0.1",".","0.1"
"Undergraduates","","9931","2.920","28.7","12.8","24.7","7.9","15.6","6.5","3.0","0.1","",".","0.3","",".","0.0","0.4","0.0",".","0.0"
"Special","","215","3.587","55.8","18.1","11.6","4.2","5.1",".","0.5","2.3","",".",".","",".",".","0.5",".","1.9","."
"Graduate","","565","3.684","64.1","12.0","8.8","2.5","2.7","0.5","0.5","6.0","",".","1.2","",".","0.9","0.4",".","0.2","0.2"
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","10712","2.961","31.1","12.9","23.6","7.5","14.7","6.0","2.8","0.4","",".","0.3","",".","0.1","0.4","0.0","0.0","0.0"
