"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"43","001","","94","3.968","98.9",".",".",".",".","1.1",".",".",".",".",".",".",".",".",".","."
"43","002","","96","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"43","003","","78","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","","268","3.974","98.1",".","1.5",".",".","0.4",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum
461","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting for Singers
463","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diction for Singers
466","001","","18","3.778","66.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"497","001","","12","3.857","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","002","","11","3.923","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","018","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","049","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","052","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"497","159","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","72","3.927","87.5","9.7","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study
499","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Choir
50","001","","37","3.972","94.6",".","2.7",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Proseminar in Music Theory
517","001","","12","3.818","75.0",".","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Treble Choir
52","001","","83","3.958","94.0","4.8",".","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Pedagogy
540","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Choral Lit
541","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced String Pedagogy
543","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"553","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"553","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Conducting Seminar","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera
556","060","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop
557","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Chorale
56","001","","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"562","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"562","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"562","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"562","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"565","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"565","058","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"565","149","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Woodwind","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"567","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 311 of 478",""
