"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"Foundations
532","001","","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nondestructive Evaluation
534","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Concrete Structures II
547","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Transport Planning
571","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transportation Operations
572","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Traffic Control
574","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Pavement Design
576","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design
578","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr
579","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Hydrology
619","001","","11","3.778","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specl Topic-Structural Engr
649","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics:Constructn Engr&Mgmt
669","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Transprtatn&City Plan
679","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","30","4.000","90.0",".",".",".",".",".",".","3.3",".",".",".",".","6.7",".",".","."
"Air Pollution Chemistry
701","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Principles of Env Eng
723","003","","17","3.882","88.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods in CEM
760","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 128 of 478",""
