"L&S","","","","","","","","","","","","","","","","","","","",""
"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"1st Semester Portuguese","101
002","","11","3.273","45.5","27.3","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","201
001","","7","3.143","71.4",".",".",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Luso-Braziln Lit","640
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","899
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"782
PORTUG","Dept. Total","","41","3.538","63.4","14.6","7.3","2.4","2.4",".","4.9","4.9",".",".",".",".",".",".",".","."
