"TERM : 1252","","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2024-2025","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE","Section","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"681
NEURODPT","Dept. Total","","86","3.954","73.3","",".","2.3","",".","",".","",".","",".","23.3","",".",".","",".","",".","",".",".","1.2","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","6","4.000","100.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","20","4.000","95.0","",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","5.0","."
"Senior","","","35","3.958","97.1","",".","2.9","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","61","3.974","96.7","",".","1.6","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","1.6","."
"Special","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","23","3.750","13.0","",".","4.3","",".","",".","",".","",".","82.6","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","86","3.954","73.3","",".","2.3","",".","",".","",".","",".","23.3","",".",".","",".","",".","",".",".","1.2","."
