"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Topics-Info Agency Managemt","Course Total","","28","3.926","85.7","7.1","3.6",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"875","001","","45","3.689","62.2","28.9","4.4","2.2",".",".","2.2",".",".",".",".",".",".",".",".","."
"875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","Course Total","","46","3.696","63.0","28.3","4.3","2.2",".",".","2.2",".",".",".",".",".",".",".",".","."
"PWR Seminar
925","001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Info Use&Users in Context
940","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","30","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","3.3",".","3.3","."
