"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","340","3.814","75.6","13.8","5.6","1.2","0.3","0.3","0.6",".",".",".",".",".",".","0.3","2.4","."
"Literatures of Native America","172
001","18","3.444","61.1","11.1","5.6","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Indians of Wisconsin","250
001","35","3.162","14.3","42.9","17.1","17.1","2.9",".","2.9","2.9",".",".",".",".",".",".",".","."
"First Semester Ojibwe","301
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","303
001","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","303
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Beginner Indigenous Language","Course Total","29","4.000","93.1",".",".",".",".",".",".","3.4",".",".",".",".",".","3.4",".","."
"IndigenousPeoples&Environment","306
001","57","3.737","64.9","24.6","5.3","3.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Beginner Hoocak/Ho-Chunk","308
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"American Indian Communities","330
001","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Caring for Native Nature","345
001","13","3.385","38.5",".","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archaeology of Wisconsin","354
001","13","3.538","69.2","15.4","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Survey-N Amer Indian Languages","371
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ojibwe Language III","401
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","450
001","34","3.909","82.4","11.8","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"140
AMER IND","Dept. Total","575","3.750","70.3","15.5","7.5","2.6","0.7","0.3","0.7","0.5",".",".",".",".","0.2","0.3","1.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Freshmen","","187","3.686","64.2","18.7","10.2","3.7","1.1","0.5","0.5",".",".",".",".",".","0.5","0.5",".","."
"Sophomore","","192","3.813","78.1","15.1","3.6","1.6","0.5",".","1.0",".",".",".",".",".",".",".",".","."
"Junior","","97","3.737","72.2","15.5","8.2","2.1",".","1.0","1.0",".",".",".",".",".",".",".",".","."
"Senior","","82","3.768","74.4","11.0","9.8","3.7","1.2",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","558","3.751","71.9","15.8","7.5","2.7","0.7","0.4","0.7",".",".",".",".",".","0.2","0.2",".","."
"Special","","15","3.833","13.3","6.7",".",".",".",".",".","20.0",".",".",".",".",".","6.7","53.3","."
"Graduate","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","575","3.750","70.3","15.5","7.5","2.6","0.7","0.3","0.7","0.5",".",".",".",".","0.2","0.3","1.4","."
