"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"699","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","156","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","158","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","201","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Presentation Skills
750","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med
910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Challenges in Oncology
912","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Human Cancer Bio","Course Total","","2","***","","","","","","","","","","","","","","","",""
