"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"","265
158","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Resistance Music Ensemble","266
101","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
020","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
089","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
120","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
135","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
163","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
189","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
220","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
071","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
183","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
101","","18","3.722","66.7","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","271
102","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
103","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","","54","3.861","79.6","14.8","3.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","297
011","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","297
111","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","297
211","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301
001","","14","3.923","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"W African Dance/Music-Americas","318
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","331
066","","14","3.000","28.6","7.1","14.3","35.7","14.3",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Wind Ensemble","40
001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","","56","3.982","98.2",".","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Histories","417
001","","23","3.652","56.5","21.7","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","","304","3.921","93.1","3.0","1.3","1.6","0.7",".","0.3",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Mus 1","420
001","","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 310 of 478",""
