"AGRICULTURAL AND APPLIED E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","101","001","43","2.988","20.9","18.6","25.6","16.3","14.0","4.7",".",".",".",".",".",".",".",".",".","."
"Climate Change Econ & Policy","246","001","48","3.563","54.2","20.8","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Career Development","267","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","097","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","306","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Agricultural Systems Mgmt","320","001","21","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Data Analysis","335","001","182","3.693","68.1","20.3","3.8","2.2","2.7","1.1","1.1","0.5",".",".",".",".",".",".",".","."
"Global Health: Econ & Policy","352","001","89","3.236","32.6","25.8","20.2","10.1","6.7","3.4","1.1",".",".",".",".",".",".",".",".","."
"Energy, Resources & Economics","371","001","11","3.944","72.7","9.1",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Globalizatn, Poverty&Develpmnt","373","001","18","3.719","55.6","16.7","16.7",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","375","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Decision Analysis","421","001","24","3.438","45.8","25.0","16.7","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Food Systems & Supply Chains","422","001","20","3.375","15.0","45.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","30","3.400","36.7","23.3","23.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Microeconomic Thry","635","001","27","3.654","51.9","22.2","22.2",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Applied Econometric Analysis I","636","001","33","3.547","51.5","24.2","15.2","3.0",".",".","3.0","3.0",".",".",".",".",".",".",".","."
"Seminar Quant & Applied Econ","720","001","18","3.667","61.1","33.3",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Machine Learning Ap Econ Anlys","722","001","12","3.864","75.0","8.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Professional Development Sem","723","001","17","3.688","76.5","11.8",".",".",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"Pract for Applied Economists","724","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Development Economics 2","731","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Applied Econometric Analysis 3","737","001","19","3.861","68.4","26.3",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Envir & Resource Econ 2","762","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","082","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","086","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","088","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","089","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","093","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","098","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","","Page 1 of 478"
