"BIOSTATISTICS & MED INFORM Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"541","001","","45","3.478","66.7","6.7","8.9","8.9","4.4",".","4.4",".",".",".",".",".",".",".",".","."
"541","002","","34","3.912","85.3","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostatistics","Course Total","","79","3.665","74.7","8.9","6.3","5.1","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth
551","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Bioinformatics
576","001","","29","3.500","34.5","37.9","10.3","6.9","3.4",".",".","6.9",".",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials
641","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clncl Trial Desgn, Impl, Anlys
643","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth
651","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Computational Optics & Imaging
722","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lrning Based Mthds for Com Vis
771","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Network  Biology
775","001","","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Becoming a Biomedical Data Sci
800","001","","22","3.932","95.5",".",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Semiparametric Methods in Data
828","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biomed DataSci Scholarly Lit 1
881","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomed Data Sci Prof Skills 1
883","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomed Data Sci Prof Skills 2
884","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 385 of 478",""
