"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","240
001","138","3.442","46.4","15.9","24.6","6.5","5.1",".","0.7",".",".",".",".",".","0.7",".",".","."
"","240
003","137","3.540","48.9","26.3","16.8","2.9","4.4",".","0.7",".",".",".",".",".",".",".",".","."
"","240
004","140","3.558","55.0","19.3","16.4","2.9","3.6","2.1",".",".",".",".",".",".","0.7",".",".","."
"","240
005","134","3.537","48.5","26.1","16.4","3.7","4.5","0.7",".",".",".",".",".",".",".",".",".","."
"","240
006","134","3.519","50.7","22.4","18.7","2.2","4.5",".","1.5",".",".",".",".",".",".",".",".","."
"","240
007","70","3.565","48.6","25.7","17.1","2.9","4.3",".",".",".",".",".",".",".",".",".",".","1.4"
"Data Science Modeling I","Course Total","753","3.523","49.8","22.3","18.5","3.6","4.4","0.5","0.5",".",".",".",".",".","0.3",".",".","0.1"
"","301
001","125","2.904","28.8","10.4","19.2","13.6","21.6","4.0","2.4",".",".",".",".",".",".",".",".","."
"","301
002","118","2.788","21.2","15.3","16.1","18.6","19.5","6.8","2.5",".",".",".",".",".",".",".",".","."
"","301
003","128","2.890","24.2","8.6","24.2","16.4","20.3","5.5",".",".",".",".",".",".","0.8",".",".","."
"Intro-Statistical Methods","Course Total","371","2.862","24.8","11.3","19.9","16.2","20.5","5.4","1.6",".",".",".",".",".","0.3",".",".","."
"","303
001","31","3.350","38.7","22.6","19.4","12.9",".",".","3.2","3.2",".",".",".",".",".",".",".","."
"","303
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
003","74","3.925","86.5","9.5","2.7",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"","303
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics I","Course Total","116","3.776","74.1","12.9","6.9","3.4",".",".","0.9","1.7",".",".",".",".",".",".",".","."
"","304
003","54","3.698","64.8","18.5","7.4","3.7","3.7",".",".","1.9",".",".",".",".",".",".",".","."
"","304
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics II","Course Total","59","3.716","66.1","18.6","6.8","3.4","3.4",".",".","1.7",".",".",".",".",".",".",".","."
"","305
003","28","3.648","64.3","14.3","7.1","3.6","7.1",".",".","3.6",".",".",".",".",".",".",".","."
"","305
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"R for Statistics III","Course Total","32","3.677","65.6","15.6","6.3","3.1","6.3",".",".","3.1",".",".",".",".",".",".",".","."
"","309
001","40","3.077","27.5","17.5","25.0","12.5","10.0","2.5","2.5",".",".",".",".",".",".",".","2.5","."
"","309
002","44","2.864","20.5","29.5","9.1","15.9","11.4","11.4","2.3",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","84","2.964","23.8","23.8","16.7","14.3","10.7","7.1","2.4",".",".",".",".",".",".",".","1.2","."
"Intro to Prob & Math Stat II","310
001","35","3.329","31.4","25.7","25.7","11.4","5.7",".",".",".",".",".",".",".",".",".",".","."
"","311
001","69","3.739","63.8","21.7","13.0","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","69","3.667","58.0","24.6","13.0","1.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"","311
003","54","3.176","33.3","9.3","31.5","14.8","9.3","1.9",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo, Meth) I","Course Total","192","3.555","53.1","19.3","18.2","5.2","3.6","0.5",".",".",".",".",".",".",".",".",".","."
"","324
001","135","3.041","25.9","11.9","33.3","11.1","13.3","4.4",".",".",".",".",".",".",".",".",".","."
"","324
002","132","3.049","30.3","15.2","25.0","9.8","11.4","8.3",".",".",".",".",".",".",".",".",".","."
"","324
003","121","2.838","19.8","13.2","24.8","17.4","14.0","9.9",".",".",".",".",".",".","0.8",".",".","."
"Intro Applied Stats for Engrs","Course Total","388","2.981","25.5","13.4","27.8","12.6","12.9","7.5",".",".",".",".",".",".","0.3",".",".","."
"Applied Regression Analysis","333
001","43","3.360","32.6","30.2","18.6","14.0","4.7",".",".",".",".",".",".",".",".",".",".","."
"","340
001","111","2.855","19.8","14.4","19.8","16.2","24.3","4.5",".",".",".",".",".",".","0.9",".",".","."
"","340
002","110","2.932","26.4","10.0","25.5","12.7","19.1","6.4",".",".",".",".",".",".",".",".",".","."
"","340
003","110","3.236","37.3","12.7","25.5","10.9","12.7","0.9",".",".",".",".",".",".",".",".",".","."
"","340
004","81","2.907","21.0","7.4","37.0","13.6","16.0","3.7","1.2",".",".",".",".",".",".",".",".","."
"Data Science Modeling II","Course Total","412","2.988","26.5","11.4","26.2","13.3","18.2","3.9","0.2",".",".",".",".",".","0.2",".",".","."
"","349
001","49","3.306","42.9","20.4","16.3","4.1","12.2","4.1",".",".",".",".",".",".",".",".",".","."
"","349
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 361 of 478",""
