"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Consumer Engagement","Course Total","119","3.920","86.6","10.9","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
001","60","3.717","56.7","35.0","5.0","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"","562
002","44","3.625","38.6","47.7","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","Course Total","104","3.678","49.0","40.4","8.7","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"","564
001","59","3.271","25.4","39.0","16.9","8.5","6.8","3.4",".",".",".",".",".",".",".",".",".","."
"","564
002","58","3.095","22.4","19.0","29.3","17.2","10.3","1.7",".",".",".",".",".",".",".",".",".","."
"","564
003","62","2.910","14.5","29.0","16.1","14.5","17.7","6.5",".",".",".",".",".",".","1.6",".",".","."
"","564
103","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Retail Financial Analysis","Course Total","180","3.087","20.6","28.9","20.6","13.9","11.7","3.9",".",".",".",".",".",".","0.6",".",".","."
"","567
001","56","3.768","64.3","26.8","7.1","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","567
002","61","3.902","83.6","13.1","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","567
102","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Product Development Strategies","Course Total","119","3.836","73.9","20.2","5.0","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","22","3.818","86.4","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
015","45","3.922","91.1","4.4","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","627
001","50","3.790","64.0","32.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","627
002","50","3.630","48.0","30.0","22.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","Course Total","100","3.710","56.0","31.0","12.0","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","657
001","65","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","657
002","63","3.778","81.0","6.3","4.8","6.3",".","1.6",".",".",".",".",".",".",".",".",".","."
"","657
003","59","3.610","47.5","40.7","1.7","6.8","3.4",".",".",".",".",".",".",".",".",".",".","."
"","657
004","54","3.830","70.4","24.1","1.9","1.9",".",".",".",".",".",".",".",".","1.9",".",".","."
"","657
104","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","246","3.800","73.6","19.1","2.0","3.7","0.8","0.4",".",".",".",".",".",".","0.4",".",".","."
"","665
001","44","3.693","61.4","22.7","9.1","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"","665
002","49","3.755","69.4","18.4","8.2","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","665
102","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Household Risk Management","Course Total","98","3.730","66.3","19.4","9.2","4.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"","675
001","48","3.625","60.4","18.8","8.3","10.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"","675
101","7","3.000","42.9",".","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","Course Total","55","3.545","58.2","16.4","9.1","12.7","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
077","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Organization of Household","748
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Cnsr Research Methods","768
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsr Sci Graduate Workshop","920
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Fam Economic Policy","930
001","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"","999
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 169 of 478",""
