"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","743
002","","10","",".",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","10.0"
"","743
003","","9","",".",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","11.1"
"","743
004","","15","",".",".",".",".",".",".",".","86.7",".",".",".",".",".",".",".","13.3"
"Negotiations","Course Total","","45","",".",".",".",".",".",".",".","91.1",".",".",".",".",".",".",".","8.9"
"Administrative Law","744
001","","67","1.313","19.4",".","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Antitrust","748
001","","39","1.485","10.3",".","28.2",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Patent Law","751
001","","18","1.071","16.7",".","5.6",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Intro-Intellectual Proprty Law","753
001","","47","1.419","17.0",".","19.1",".","2.1",".","2.1","8.5",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","","8","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"Select Topics-Estate Planning","771
001","","10","1.100","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"State & Local Government Law","795
001","","58","1.379","19.0",".","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","798
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","798
002","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Profess. Respon. & Crim Prac.","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Evidence","801
001","","87","1.388","19.5",".","14.9",".","2.3",".",".","8.0",".",".",".",".",".",".",".","."
"Civil Procedure II","802
001","","39","1.281","12.8",".","17.9",".",".",".",".","17.9",".",".",".",".",".",".",".","."
"Accounting for Lawyers","811
001","","22","",".",".",".",".",".",".",".","68.2",".",".",".",".",".",".",".","31.8"
"","815
001","","16","",".",".",".",".",".",".",".","81.3",".",".",".",".",".",".",".","18.8"
"","815
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
004","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
006","","15","",".",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","26.7"
"","815
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Moot Court","Course Total","","47","",".",".",".",".",".",".",".","85.1",".",".",".",".",".",".",".","14.9"
"Bus Org: Pship LLC Close Corps","817
001","","84","1.310","15.5",".","21.4",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Bankruptcy Law","821
001","","21","0.333","4.8",".",".",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Family Law: Marriage & Divorce","822
001","","28","0.692","10.7",".","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Insurance Law","825
001","","31","1.258","9.7",".","25.8",".","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"International Law","827
001","","24","1.630","20.8","4.2","16.7",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Interntl Business Transaction","828
001","","15","1.633","20.0","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","849
001","","16","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","6.3"
"","849
002","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","Course Total","","30","",".",".",".",".",".",".",".","96.7",".",".",".",".",".",".",".","3.3"
"","850
001","","69","1.412","14.5",".","26.1",".","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"","850
002","","28","1.240","7.1",".","25.0",".","3.6",".",".","10.7",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","97","1.366","12.4",".","25.8",".","2.1",".",".","4.1",".",".",".",".",".",".",".","."
"Trial Advocacy","852
001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","853
001","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","853
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 377 of 478",""
