"HORTICULTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","","",""
"Survey of Horticulture","120","001","","68","3.640","69.1","17.6","4.4","1.5","2.9","2.9","1.5",".",".",".",".",".",".",".",".","."
"Horticulture Colloquium","121","001","","14","3.250","42.9","21.4","7.1","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Ornamental Plants","234","001","","9","2.938","22.2","22.2","11.1","11.1","11.1","11.1",".",".",".",".",".",".",".","11.1",".","."
"Sustainable Turf Management","261","001","","22","3.075","40.9","9.1","22.7","4.5",".","4.5","9.1",".",".",".",".",".",".","9.1",".","."
"Turfgrass Management Lab","262","001","","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Human History of Plant&Science","301","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environment of Hort Plants","320","001","","12","3.583","75.0","8.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"Survey Contr Envir Food Prod","333","001","","28","3.704","60.7","17.9","14.3","3.6",".",".",".","3.6",".",".",".",".",".",".",".","."
"Plants and Human Wellbeing","350","001","","57","3.163","22.8","28.1","14.0","7.0","10.5","1.8","1.8","7.0",".",".",".",".",".","5.3","1.8","."
"Plants&Human Wellbeing Compan","351","001","","19","3.421","42.1","21.1","26.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"World Vegetable Crops","370","001","","18","3.382","33.3","27.8","11.1","22.2",".",".",".",".",".",".",".",".",".",".","5.6","."
"Seminar in Organic Agriculture","372","001","","14","3.654","64.3","7.1","7.1","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"Tropical Horticultural Systems","376","001","","29","3.862","82.8","6.9","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Plant Breeding","501","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","571","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","699","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Pract-Horticulture Teaching","799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Plant Breeding","957","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","24","",".",".",".",".",".",".",".","41.7",".",".",".","58.3",".",".",".","."
