"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","240","3.488","36.7","43.8","9.6","6.3","2.1","0.4","1.3",".",".",".",".",".",".",".",".","."
"","300
002","233","3.431","34.8","37.8","15.9","7.3","2.6","0.9","0.9",".",".",".",".",".",".",".",".","."
"","300
003","151","3.275","33.1","35.1","10.6","11.9","4.0","2.6","2.6",".",".",".",".",".",".",".",".","."
"","300
100","26","2.923","19.2","38.5","15.4","7.7","3.8","7.7","7.7",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","650","3.395","34.5","39.4","12.3","8.0","2.8","1.4","1.7",".",".",".",".",".",".",".",".","."
"","305
001","49","3.061","14.3","22.4","36.7","14.3","12.2",".",".",".",".",".",".",".",".",".",".","."
"","305
002","50","3.430","30.0","36.0","24.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","52","3.202","23.1","32.7","19.2","11.5","13.5",".",".",".",".",".",".",".",".",".",".","."
"","305
100","16","3.094","37.5","6.3","18.8","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","167","3.219","24.0","28.1","25.7","12.0","10.2",".",".",".",".",".",".",".",".",".",".","."
"","310
001","46","3.783","63.0","32.6","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","49","3.173","18.4","26.5","30.6","20.4","4.1",".",".",".",".",".",".",".",".",".",".","."
"","310
003","50","3.240","10.0","40.0","40.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","145","3.390","29.7","33.1","24.8","10.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"","335
001","39","3.692","56.4","25.6","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","39","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
003","34","3.500","26.5","52.9","17.6",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","112","3.714","57.1","30.4","11.6",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"","355
001","39","3.808","76.9","10.3","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","355
002","45","3.933","91.1","6.7",".","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","355
003","40","3.500","32.5","42.5","15.0","5.0","2.5",".",".",".",".",".",".",".","2.5",".",".","."
"","355
004","34","3.221","14.7","50.0","17.6","5.9","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"","355
100","26","3.654","57.7","23.1","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","184","3.642","56.5","25.5","10.3","4.3","2.2","0.5",".",".",".",".",".",".","0.5",".",".","."
"","365
001","30","3.583","50.0","40.0","3.3","3.3",".",".","3.3",".",".",".",".",".",".",".",".","."
"","365
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","54","3.728","72.2","22.2","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","399
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sports Marketing","410
001","37","2.784","10.8","16.2","29.7","21.6","13.5","8.1",".",".",".",".",".",".",".",".",".","."
"","415
001","30","3.733","56.7","36.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Creative Marketing","Course Total","38","3.737","57.9","34.2","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","18","3.611","50.0","33.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","421
001","25","3.540","48.0","20.0","28.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","421
002","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
100","25","3.860","84.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","69","3.696","60.9","21.7","14.5","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","422
001","16","3.344","18.8","43.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","41","3.549","41.5","31.7","22.0","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","57","3.491","35.1","35.1","22.8","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
002","24","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
