"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"","100
001","116","3.892","89.7","3.4","3.4","2.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"","100
002","18","3.861","88.9","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","100
003","14","3.536","57.1","14.3","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
004","17","3.529","58.8","17.6","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"Experiencing Theatre","Course Total","165","3.799","83.6","6.1","4.8","3.0","1.8","0.6",".",".",".",".",".",".",".",".",".","."
"Intro-Theatre & Dramatic Lit","120
001","144","3.795","78.5","13.2","2.8","2.8","2.1",".","0.7",".",".",".",".",".",".",".",".","."
"Fund of Theatrical Design","130
001","19","3.711","78.9","5.3","5.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","140
001","17","3.471","52.9","11.8","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","140
002","18","3.778","83.3","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Voice1 Effective Communication","Course Total","35","3.629","68.6","8.6","8.6","8.6","5.7",".",".",".",".",".",".",".",".",".",".","."
"","150
002","17","3.824","82.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","150
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","14","3.357","57.1","21.4",".","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","150
006","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","77","3.796","80.5","10.4","1.3","3.9","1.3",".","1.3","1.3",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","23","3.848","87.0",".","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","200
001","34","3.909","88.2","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","2.9",".","."
"","200
002","34","3.735","79.4","5.9","5.9","5.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"","200
003","34","3.750","85.3",".","5.9","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","200
004","34","3.864","79.4","8.8","8.8",".",".",".",".",".",".",".",".",".",".","2.9",".","."
"","200
005","26","3.771","76.9","11.5",".",".",".",".","3.8",".",".",".",".",".",".","7.7",".","."
"","200
006","31","3.963","83.9",".","3.2",".",".",".",".",".",".",".",".",".","3.2","9.7",".","."
"Acting Skills for Life","Course Total","193","3.830","82.4","4.7","4.7","2.1","0.5","1.0","0.5",".",".",".",".",".","0.5","3.6",".","."
"Scenic Studio Practicum","220
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Studio Practicum","221
001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Collaborative Problem Solving","234
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","14","3.429","64.3",".","21.4",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","250
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","21","3.619","76.2",".","14.3",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","262
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Practicum","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","17","3.882","88.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","16","3.900","87.5",".",".","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
101","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
102","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
121","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 116 of 478",""
