"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","240
001","24","3.771","66.7","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","240
002","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Aspects Teach, Schl, Educ","Course Total","46","3.804","71.7","19.6","6.5","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp issues in K-12 Schools","276
001","25","3.400","80.0",".","4.0",".","4.0",".","12.0",".",".",".",".",".",".",".",".","."
"Videogames & Learning","277
001","172","3.938","89.5","7.6","1.2",".","0.6",".",".","1.2",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","301
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","305
001","20","3.658","65.0","10.0","10.0","5.0","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"Language Acquisition and Use","311
001","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of ESL Education","312
001","120","3.840","79.2","14.2","4.2","0.8",".",".","0.8",".",".",".",".",".",".",".","0.8","."
"ESL/Bilingual Methods","316
001","37","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
001","47","3.904","87.2","6.4","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","48","3.833","83.3","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","319
003","20","3.850","85.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 1","Course Total","115","3.865","85.2","5.2","7.0","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Arts Integration","328
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education Outside School","331
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cult Fndtns-Lrng & Dev","339
001","73","3.911","87.7","8.2","2.7","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Educ Practicum I","340
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
002","20","3.800","90.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","357
003","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
004","18","3.778","94.4",".",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","357
005","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design I","Course Total","77","3.877","93.5","1.3","2.6",".",".","1.3","1.3",".",".",".",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","31","3.741","61.3","19.4","9.7","3.2",".",".",".",".",".",".",".",".","6.5",".",".","."
"Tching Math in Inclusive Set","365
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","367
001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
004","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elementary Educ. Practicum II","Course Total","104","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","370
001","34","3.882","91.2","5.9",".",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"","370
002","31","3.919","83.9","16.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","105","3.890","85.7","11.4","1.0","1.0",".","1.0",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","371
001","133","3.973","94.7","3.8","0.8",".",".",".",".",".",".",".",".",".",".","0.8",".","."
"","372
001","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
