"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Sculpture II","314
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","316
001","","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","322
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","8","3.500","75.0",".","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","332
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Responsive Web Design","333
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Service Learning in Art","338
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","341
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","Course Total","","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","346
003","","11","3.591","81.8","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","346
004","","13","3.538","76.9","7.7",".","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","346
005","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Graphic Design","Course Total","","60","3.750","83.3","6.7","3.3","3.3",".",".","3.3",".",".",".",".",".",".",".",".","."
"Intro to Digital Printmaking","348
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coding for Graphic Design","356
001","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
003","","8","3.563","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","26","3.865","84.6","11.5",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Digital Fabrication Studio","409
001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","428
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428
002","","16","3.719","68.8","18.8","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Digital Imaging Studio","Course Total","","28","3.839","82.1","10.7","3.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","429
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design History","438
001","","38","3.618","73.7","7.9","2.6",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"Artists' Books","446
001","","9","3.222","44.4","11.1",".","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","448
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
010","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
012","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","35","3.922","91.4","8.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Paint: New Figuration I","452
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454
001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","","Page 77 of 476"
