"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","23","3.891","91.3",".","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","64","3.586","51.6","20.3","10.9","1.6","4.7","1.6",".","1.6",".",".",".",".","6.3","1.6",".","."
"","203
002","76","3.500","44.7","21.1","21.1","7.9","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Signals, Information & Comp","Course Total","140","3.538","47.9","20.7","16.4","5.0","3.6","0.7",".","0.7",".",".",".",".","4.3","0.7",".","."
"","204
001","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","69","3.812","66.7","29.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science & Engineering","Course Total","81","3.741","59.3","30.9","8.6","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","95","3.905","96.8",".","1.1",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"","210
002","72","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","167","3.946","98.2",".","0.6",".",".",".","1.2",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","124","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","105","3.410","42.9","21.9","21.9","6.7","3.8","2.9",".",".",".",".",".",".",".",".",".","."
"","230
001","116","3.181","35.3","20.7","17.2","9.5","7.8","5.2","1.7",".",".",".",".",".","2.6",".",".","."
"","230
002","58","3.009","34.5","24.1","13.8","8.6","6.9","1.7","10.3",".",".",".",".",".",".",".",".","."
"Circuit Analysis","Course Total","174","3.123","35.1","21.8","16.1","9.2","7.5","4.0","4.6",".",".",".",".",".","1.7",".",".","."
"","235
001","30","3.383","36.7","26.7","20.0","10.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","235
002","39","3.244","28.2","23.1","25.6","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","Course Total","69","3.304","31.9","24.6","23.2","13.0","7.2",".",".",".",".",".",".",".",".",".",".","."
"","252
001","127","3.303","50.4","15.7","13.4","7.1","6.3","3.1","3.9",".",".",".",".",".",".",".",".","."
"","252
003","87","3.264","37.9","19.5","23.0","3.4","12.6","3.4",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","214","3.287","45.3","17.3","17.3","5.6","8.9","3.3","2.3",".",".",".",".",".",".",".",".","."
"","270
001","88","3.665","54.5","27.3","15.9","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"","270
002","48","3.396","41.7","27.1","22.9","2.1","2.1",".","4.2",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","136","3.570","50.0","27.2","18.4","1.5","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"","271
001","33","3.500","42.4","39.4","12.1",".","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"","271
002","20","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","53","3.519","37.7","43.4","15.1",".","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"","303
001","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
003","18","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","48","3.677","56.3","22.9","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","313
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","315
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","18","3.750","83.3","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","315
005","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
006","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","71","3.901","90.1","5.6","2.8",".",".","1.4",".",".",".",".",".",".",".",".",".","."
