"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","9","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","61","3.978","95.1","1.6","1.6","",".","",".","",".","",".",".","",".",".","",".",".",".",".","1.6","."
"Senior","64","4.000","98.4",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".","1.6","."
"Undergraduates","134","3.989","97.0","0.7","0.7","",".","",".","",".","",".",".","",".",".","",".",".",".",".","1.5","."
"Graduate","71","4.000","18.3",".",".","",".","",".","",".","",".","76.1","",".",".","",".","1.4","1.4",".","2.8","."
"Prof Yr 1","14","4.000","92.9",".",".","",".","",".","",".","",".","7.1","",".",".","",".",".",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","224","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","212","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","452","4.000","2.9",".",".","",".","",".","",".","",".","97.1","",".",".","",".",".",".",".",".","."
