"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","111","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","115","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","31","3.965","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Cooperative Educ Program
702","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"711","001","","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711","003","","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamcs& Control-AC Drives","Course Total","","31","3.645","35.5","58.1","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrmgntc Dsgn-AC Machins
713","003","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plasma Magnetohydrodynamics
726","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Wireless Communications
736","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Adv Digital Image Processng
738","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Advanced Robotics
739","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computer Architecture I
752","001","","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fault-Tolerant Computing
753","001","","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"VLSI Systems Design
755","001","","32","3.500","40.6","21.9","34.4","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Machine Learning
760","001","","25","3.820","68.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"761","001","","6","3.083","16.7",".","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"761","002","","11","3.550","36.4","36.4","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Mathematical Machine Learning","Course Total","","17","3.375","29.4","23.5","29.4","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"Adv Cmpr Sec & Prvcy
782","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
