"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"New Product Innovation","437
001","33","3.576","27.3","66.7","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","445
001","26","3.580","57.7","19.2","15.4",".",".",".","3.8",".",".",".",".",".",".",".","3.8","."
"","445
002","16","3.344","31.3","25.0","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Marketing Analytics","Course Total","42","3.488","47.6","21.4","19.0","7.1",".",".","2.4",".",".",".",".",".",".",".","2.4","."
"Marketing Analytics","450
001","6","3.417",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","41","3.366","24.4","34.1","34.1","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"","460
002","25","3.360","28.0","32.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","45","3.400","26.7","26.7","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
004","32","3.500","40.6","18.8","40.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","143","3.406","29.4","28.0","37.8","4.2","0.7",".",".",".",".",".",".",".",".",".",".","."
"","705
001","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","705
050","52","3.933","86.5","13.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","58","3.844","79.3","15.5","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
050","52","3.644","36.5","55.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","17","3.647","47.1","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channel Strategy","725
001","41","3.951","90.2","9.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","727
001","16","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
030","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","Course Total","24","3.688","41.7","54.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"New Product Innovation","737
001","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Marketing Analytics","745
001","44","3.570","43.2","29.5","20.5","4.5",".",".",".",".",".",".",".",".",".",".","2.3","."
"","755
001","20","3.725","45.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
050","52","3.702","51.9","36.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","72","3.710","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","31","3.629","48.4","29.0","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","25","3.479","16.0","60.0","20.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","765
004","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","86","3.669","52.3","32.6","14.0",".",".",".",".","1.2",".",".",".",".",".",".",".","."
"","775
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Media Marketing","Course Total","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual-Based Marketing Insights","805
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","34","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
002","48","3.490","35.4","27.1","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Analytics","Course Total","82","3.506","32.9","35.4","31.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Marketing","Course Total","37","3.919","86.5","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
