"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","429","3.674","70.9","12.1","7.7","3.0","2.8","1.9","0.7","0.7",".",".",".",".",".",".","0.2","."
"","132","002","441","3.756","74.4","13.8","6.1","1.8","0.9","0.7","1.1","1.1",".",".",".",".",".",".",".","."
"Nutrition Today","","Course Total","870","3.715","72.6","13.0","6.9","2.4","1.8","1.3","0.9","0.9",".",".",".",".",".",".","0.1","."
"Prof-Dietetics & Nutrition","200","001","35","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","299","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Animal Nutritn","311","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Nutritional Needs","332","001","101","2.916","28.7","5.0","26.7","9.9","25.7","3.0","1.0",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","158","3.623","53.8","25.3","15.2","4.4","0.6","0.6",".",".",".",".",".",".",".",".",".","."
"Intro Epidemiology","379","001","166","3.779","73.5","13.9","8.4","1.2","2.4",".",".",".",".",".",".",".","0.6",".",".","."
"","421","002","56","3.955","96.4","1.8",".",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"","421","003","11","3.455","36.4","36.4","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Global Health Field Experience","","Course Total","67","3.873","86.6","7.5","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Nutrition in the Life Span","431","001","46","3.054","6.5","26.1","54.3","2.2","8.7","2.2",".",".",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm","510","001","17","3.176","47.1","5.9","23.5","5.9","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Nutr & Health Equity","540","002","23","3.609","43.5","39.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutr: Metab-Macronutrients","619","001","11","3.318","27.3","18.2","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutritn: Obesity&Diabetes","625","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutrition: Vitamins","627","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition II","632","001","38","3.645","44.7","42.1","10.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"App Clinical Nutrition II","642","001","38","3.632","31.6","63.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Clin Nutrition Pediatrics","651","001","23","3.826","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutr Counseling & Educ","652","001","12","3.500","41.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition Research","653","001","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum II","671","001","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","073","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micronutr-Human Phys & Disease","715","001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","","Page 35 of 476"
