"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","","160","2.794","20.6","8.8","25.0","11.3","30.0","3.1","1.3",".",".",".",".",".",".",".",".","."
"","116
001","","22","3.762","54.5","36.4","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","116
002","","23","3.826","65.2","34.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid & Basic Life Support","Course Total","","45","3.795","60.0","35.6","2.2",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119
001","","100","3.940","94.0","2.0","3.0",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Living well: Lifestyle balance","123
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
002","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
003","","12","4.000","8.3",".",".",".",".",".",".","91.7",".",".",".",".",".",".",".","."
"","125
004","","10","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"","125
005","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
006","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","Course Total","","61","4.000","4.9",".",".",".",".",".",".","95.1",".",".",".",".",".",".",".","."
"Intro to Athletic Healthcare","127
001","","99","3.692","64.6","19.2","11.1","2.0","2.0","1.0",".",".",".",".",".",".",".",".",".","."
"Sci&Pract Resistance Training","140
001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndations:Hlth Behavior Equity","150
001","","146","3.877","79.5","17.8","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum Promoting Activity","Course Total","","60","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Anat Hum Mov","227
001","","73","3.644","60.3","17.8","15.1","4.1","2.7",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","44","3.989","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314
001","","71","3.246","21.1","38.0","28.2","2.8","7.0","1.4","1.4",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315
001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316
001","","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318
001","","38","3.092","23.7","26.3","26.3","2.6","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"","325
001","","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Group Develop & Behav Manage","Course Total","","44","3.943","90.9","6.8","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
002","","31","3.919","93.5","3.2",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","Course Total","","64","3.961","96.9","1.6",".",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","","52","3.846","94.2",".","1.9",".",".","1.9","1.9",".",".",".",".",".",".",".",".","."
"Soc-Cult of Phys Act","355
001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360
001","","29","3.862","79.3","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
