"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Digital System Fundamentals","Course Total","16","3.406","37.5","31.3","6.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","354
001","207","3.157","18.4","21.3","44.0","9.2","5.8","1.4",".",".",".",".",".",".",".",".",".","."
"","354
002","190","3.226","27.4","19.5","35.3","12.1","3.7","1.6","0.5",".",".",".",".",".",".",".",".","."
"","354
010","40","3.713","65.0","20.0","10.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","437","3.238","26.5","20.4","37.1","9.8","4.6","1.4","0.2",".",".",".",".",".",".",".",".","."
"","368
003","41","",".",".",".",".",".",".",".",".",".","92.7","7.3",".",".",".",".","."
"","368
004","41","",".",".",".",".",".",".",".",".",".","87.8","12.2",".",".",".",".","."
"","368
005","87","",".",".",".",".",".",".",".",".",".","95.4","4.6",".",".",".",".","."
"Learn a Programming Language","Course Total","169","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","400
001","178","3.220","33.7","16.9","28.7","11.2","3.9","4.5","0.6",".",".",".",".",".","0.6",".",".","."
"","400
002","191","3.264","33.0","19.4","32.5","7.3","3.7","3.7","0.5",".",".",".",".",".",".",".",".","."
"","400
003","192","3.180","28.6","20.3","27.6","14.6","4.7","3.6","0.5",".",".",".",".",".",".",".",".","."
"","400
004","185","3.251","33.5","15.1","33.5","7.0","4.9","3.2","0.5",".",".",".",".",".","2.2",".",".","."
"Programming III","Course Total","746","3.229","32.2","18.0","30.6","10.1","4.3","3.8","0.5",".",".",".",".",".","0.7",".",".","."
"Introducing Comp Sci to K-12","402
001","38","3.875","84.2","2.6","5.3",".","2.6",".",".","5.3",".",".",".",".",".",".",".","."
"Internship Class CS & Data Sci","403
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","86","3.145","25.6","26.7","20.9","14.0","8.1","4.7",".",".",".",".",".",".",".",".",".","."
"","475
001","17","2.824","29.4","11.8","23.5","11.8","5.9","11.8","5.9",".",".",".",".",".",".",".",".","."
"","475
002","14","3.286","42.9","14.3","21.4",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"","475
003","22","2.727","18.2","13.6","27.3","13.6","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","53","2.906","28.3","13.2","24.5","9.4","15.1","3.8","5.7",".",".",".",".",".",".",".",".","."
"CS Education","502
001","20","3.850","85.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","506
001","111","3.563","49.5","22.5","18.9","9.0",".",".",".",".",".",".",".",".",".",".",".","."
"","506
002","95","3.479","43.2","24.2","24.2","6.3","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Software Engineering","Course Total","206","3.524","46.6","23.3","21.4","7.8","0.5",".","0.5",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","19","3.079","42.1","10.5","15.8","15.8","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","6","1.917","16.7",".",".","50.0",".",".","33.3",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524
001","65","3.462","43.1","27.7","15.4","9.2","3.1","1.5",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525
001","27","3.259","44.4","14.8","14.8","7.4","14.8","3.7",".",".",".",".",".",".",".",".",".","."
"","532
001","27","3.574","59.3","25.9","3.7","7.4",".",".","3.7",".",".",".",".",".",".",".",".","."
"","532
002","94","3.500","50.0","24.5","12.8","7.4","3.2","1.1","1.1",".",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","121","3.517","52.1","24.8","10.7","7.4","2.5","0.8","1.7",".",".",".",".",".",".",".",".","."
"","536
001","97","2.856","20.6","17.5","17.5","23.7","12.4","5.2","3.1",".",".",".",".",".",".",".",".","."
"","536
002","89","3.096","37.1","14.6","24.7","6.7","9.0","1.1","6.7",".",".",".",".",".",".",".",".","."
"","536
010","34","3.603","41.2","38.2","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","Course Total","220","3.068","30.5","19.5","20.9","13.2","9.1","2.7","4.1",".",".",".",".",".",".",".",".","."
"","537
001","194","3.361","42.8","21.1","17.5","7.7","5.7","2.6","1.0","1.0",".",".",".",".","0.5",".",".","."
"","537
002","168","3.407","39.3","26.2","14.3","8.3","7.7","0.6",".","0.6",".",".",".",".","1.8",".",".","1.2"
"Intro to Operating Systems","Course Total","362","3.382","41.2","23.5","16.0","8.0","6.6","1.7","0.6","0.8",".",".",".",".","1.1",".",".","0.6"
"Thry & Desgn-Progrmg Langs","538
001","91","3.236","39.6","22.0","13.2","5.5","16.5","2.2","1.1",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","539
001","39","3.154","7.7","46.2","35.9","5.1",".","2.6","2.6",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 221 of 476",""
