"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".","25.0","."
"Junior","24","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","22","3.975","95.5","4.5","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","50","3.988","96.0","2.0","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","2.0","."
"Graduate","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","51","4.000","2.0",".","",".","",".","",".","",".","",".","98.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","54","4.000","1.9",".","",".","",".","",".","",".","",".","98.1","",".",".","",".","",".","",".",".",".","."
"Professionals","106","4.000","2.8",".","",".","",".","",".","",".","",".","97.2","",".",".","",".","",".","",".",".",".","."
