"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"116
001","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"116
002","13","",".",".",".",".",".",".",".",".",".","76.9","15.4",".",".","7.7",".","."
"116
003","14","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"116
005","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Acad Reading and Vocab Skills","57","",".",".",".",".",".",".",".",".",".","87.7","10.5",".",".","1.8",".","."
"117
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
003","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"117
004","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"117
005","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
006","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
007","11","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"117
008","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"117
009","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
010","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"117
011","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
015","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"117
016","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"Course Total
Academic Writing I","162","",".",".",".",".",".",".",".",".",".","95.7","4.3",".",".",".",".","."
"118
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
002","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
003","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"118
004","15","3.679","66.7","6.7","6.7","13.3",".",".",".",".",".",".",".",".","6.7",".",".","."
"118
005","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
006","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
007","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
008","14","3.750","78.6","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"118
009","9","3.500","66.7","11.1",".",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"118
010","9","3.611","66.7","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"118
011","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
012","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
013","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
015","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"118
016","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
017","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
019","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
020","12","3.500","50.0","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Academic Writing II","228","3.821","78.1","11.8","5.7","1.8","1.8",".",".",".",".",".",".",".","0.9",".",".","."
"343
001","12","",".",".",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".","."
"343
002","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Oral Communication Skills","23","",".",".",".",".",".",".",".",".",".","95.7",".",".",".","4.3",".","."
"Acad Present. and Discussion
344
001","7","",".",".",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".","."
