"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"Migration and Education
761","001","13","4.000","76.9",".",".",".",".",".",".","7.7",".",".",".",".","15.4",".",".","."
"Special Topics in Educ Policy
780","001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I
788","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories-Soc & Ed Change
870","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem-History of Education
906","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","40","",".",".",".",".",".",".",".","90.0",".",".",".","7.5","2.5",".",".","."
"999","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"310
ED POL","Dept. Total","1203","3.849","79.8","9.1","3.2","1.3","1.1","0.2","0.4","3.1",".",".",".","0.2","1.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","",""
"Freshmen","","87","3.709","75.9","11.5","4.6","2.3","1.1","1.1","2.3",".",".",".",".",".","1.1",".",".","."
"Sophomore","","355","3.841","81.4","11.5","2.5","1.1","1.7",".","0.6",".",".",".",".",".","1.1",".",".","."
"Junior","","326","3.875","84.4","9.8","3.7","0.9","0.6",".","0.3",".",".",".",".",".","0.3",".",".","."
"Senior","","327","3.846","82.3","8.0","4.0","1.8","1.2","0.6",".",".",".",".",".",".","2.1",".",".","."
"Undergraduates","","1095","3.842","82.1","10.0","3.5","1.4","1.2","0.3","0.5",".",".",".",".",".","1.2",".",".","."
"Special","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","100","3.973","54.0","1.0","1.0",".",".",".",".","37.0",".",".",".","3.0","4.0",".",".","."
"","Dept. Total","1203","3.849","79.8","9.1","3.2","1.3","1.1","0.2","0.4","3.1",".",".",".","0.2","1.4",".",".","."
