"L&S","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","Dept. Total","2208","3.532","48.8","24.2","13.7","4.5","2.2","1.0","0.5","3.0","",".","0.5","",".","0.4","0.9","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","133","3.072","18.8","24.8","27.1","14.3","8.3","3.0","0.8",".","",".",".","",".",".","2.3","0.8",".","."
"Sophomore","","530","3.463","41.7","27.7","20.2","6.6","1.7","1.1","0.4",".","",".","0.2","",".",".","0.4",".",".","."
"Junior","","657","3.572","54.0","24.4","13.5","3.3","2.1","1.2","0.5",".","",".","0.3","",".",".","0.5","0.2",".","."
"Senior","","661","3.638","56.9","25.7","9.1","3.3","1.8","0.5","0.5",".","",".","1.2","",".","0.2","0.8",".",".","0.2"
"Undergraduates","","1981","3.523","49.3","25.7","14.7","4.9","2.3","1.1","0.5",".","",".","0.6","",".","0.1","0.7","0.1",".","0.1"
"Special","","69","3.309","23.2","8.7","13.0","1.4","4.3",".","1.4","43.5","",".",".","",".",".",".","1.4","2.9","."
"Graduate","","156","3.872","53.8","11.5","0.6","0.6",".",".",".","23.7","",".",".","",".","5.1","4.5",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2208","3.532","48.8","24.2","13.7","4.5","2.2","1.0","0.5","3.0","",".","0.5","",".","0.4","0.9","0.1","0.1","0.0"
