"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany
100","001","","132","3.383","46.2","9.8","33.3","1.5","7.6",".","1.5",".",".",".",".",".",".",".",".","."
"Plants, Parasites, & People
123","001","","92","3.255","41.3","19.6","10.9","14.1","12.0",".","2.2",".",".",".",".",".",".",".",".","."
"General Botany
130","001","","122","3.037","34.4","9.8","24.6","7.4","16.4","6.6","0.8",".",".",".",".",".",".",".",".","."
"Introductory Biology
151","001","","6","3.000","33.3",".","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"152","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"152","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","6","3.167","16.7",".","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology
260","001","","29","2.793","17.2","13.8","20.7","13.8","31.0","3.4",".",".",".",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fungi
332","001","","21","3.548","57.1","9.5","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Biology of the Fungi
333","001","","26","2.981","23.1","19.2","26.9","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Microbiome-Plants/Anmls/Humans
335","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vascular Flora of Wisconsin
401","001","","41","3.488","51.2","17.1","17.1","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology
410","001","","22","3.227","45.5","9.1","18.2","9.1","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"General Ecology
460","001","","34","2.971","14.7","32.4","20.6","14.7","11.8","2.9","2.9",".",".",".",".",".",".",".",".","."
"Ethnobotany
474","001","","43","3.645","53.5","16.3","11.6","4.7","2.3",".",".","7.0",".",".",".",".","2.3","2.3",".","."
"499","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"500","002","","22","3.273","45.5","4.5","27.3","4.5","18.2",".",".",".",".",".",".",".",".",".",".","."
"500","010","","8","3.438","50.0","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Plant Physiology","Course Total","","30","3.308","46.7","6.7","26.7","3.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Plant-Microbe Interactions
505","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Phylogenet Analysis-Molec Data
563","001","","18","3.667","55.6","5.6","16.7","5.6",".",".",".","11.1",".",".",".",".","5.6",".",".","."
"575","002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"575","004","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575","005","","19","4.000","84.2",".",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","44","3.934","86.4","4.5","2.3",".",".",".",".","6.8",".",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis
691","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
