"BUS","","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","",""
"Seminar-Marketing PhD
972","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","138","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","162","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Readng & Rsch-Marketing PhD
999","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"237
MARKETNG","Dept. Total","","2254","3.492","44.0","28.5","18.4","5.5","2.2","0.7","0.3","0.4",".",".",".",".",".",".","0.1","."
