"L&S","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"600
MATH","Dept. Total","7626","2.898","31.1","11.5","22.5","8.1","14.8","6.6","3.3","0.6","",".","0.4","",".","0.1","0.7","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1229","2.567","17.9","9.2","23.5","11.6","19.8","11.9","5.5",".","",".",".","",".",".","0.7",".",".","."
"Sophomore","","2958","2.853","27.0","12.1","24.7","8.7","16.9","6.6","3.2","0.1","",".","0.0","",".",".","0.6",".",".","."
"Junior","","1751","2.953","30.7","13.0","24.6","6.9","14.4","5.9","3.1","0.1","",".","0.4","",".",".","0.9",".",".","."
"Senior","","988","2.994","33.5","12.1","21.0","8.9","11.8","5.6","3.4","0.3","",".","2.1","",".","0.1","0.9","0.2",".","."
"Undergraduates","","6926","2.835","27.2","11.8","23.9","8.8","16.1","7.2","3.6","0.1","",".","0.4","",".","0.0","0.8","0.0",".","."
"Special","","146","3.624","66.4","8.9","12.3","2.1","3.4","0.7","1.4","3.4","",".","0.7","",".",".",".","0.7",".","."
"Graduate","","554","3.771","70.4","8.7","7.4","1.6","2.2","0.4","0.2","6.3","",".","0.7","",".","1.4","0.5","0.2",".","."
"","Dept. Total","7626","2.898","31.1","11.5","22.5","8.1","14.8","6.6","3.3","0.6","",".","0.4","",".","0.1","0.7","0.1",".","."
