"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","11","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","12","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","25","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","18","",".",".",".",".",".","",".","",".","94.4","","5.6",".","",".","",".","",".",".",".","."
"Prof Yr 1","380","3.386","41.3","16.8","27.4","6.3","8.2","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","183","3.453","40.4","24.6","27.9","6.0","1.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","24","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","587","3.408","39.4","18.6","26.4","6.0","5.6","",".","",".","4.1","",".",".","",".","",".","",".",".",".","."
