"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","18","3.278","44.4","16.7","22.2","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","101
003","","11","3.318","27.3","36.4","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","23","3.773","73.9","4.3","13.0","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","","66","3.508","51.5","18.2","16.7","9.1","1.5",".","1.5","1.5",".",".",".",".",".",".",".","."
"","102
001","","14","3.286","42.9","14.3",".","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","20","3.711","65.0","15.0","10.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","102
003","","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","23","3.457","39.1","43.5",".","13.0",".","4.3",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","","77","3.586","54.5","26.0","3.9","11.7","1.3","1.3",".","1.3",".",".",".",".",".",".",".","."
"Third Semester Italian","203
003","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Workshop","312
001","","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Lit and Culture II","322
001","","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","350
012","","7","3.600","28.6","28.6","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Rome: Lust for Glory","Course Total","","12","3.355","25.0","25.0","16.7",".","8.3",".",".","16.7",".",".",".",".","8.3",".",".","."
"Intro to Romance Languages","429
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"St. Francis Poverty Ecology","440
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian Film","460
001","","19","3.733","52.6","21.1",".",".","5.3",".",".","21.1",".",".",".",".",".",".",".","."
"Independent Study","799
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","952
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
