"TERM : 1234","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2022-2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR BIOLOGY","","Section
#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"650","MOL BIOL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"650","MOL BIOL","Dept. Total
37","4.000","97.3","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","2.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"650","MOL BIOL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","2","***","","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
