"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Equal Employment Law","765
001","","24","0.958","8.3",".","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","771
001","","85","0.947","9.4",".","9.4",".","9.4",".",".","10.6",".",".",".",".",".",".",".","."
"","771
002","","30","1.233","23.3",".","3.3",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","771
003","","18","1.944","11.1",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Estate Planning","Course Total","","133","1.080","12.8",".","13.5",".","8.3",".",".","6.8",".",".",".",".",".",".",".","."
"Use of Trusts-Estate Planning","772
002","","13","1.273","15.4",".","15.4",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","801
001","","86","1.437","22.1",".","7.0",".","4.7",".",".","17.4",".",".",".",".",".",".",".","."
"","801
002","","34","1.469","14.7",".","23.5",".","2.9","2.9",".","5.9",".",".",".",".",".",".",".","."
"Evidence","Course Total","","120","1.447","20.0",".","11.7",".","4.2","0.8",".","14.2",".",".",".",".",".",".",".","."
"Civil Procedure II","802
001","","105","1.109","13.3",".","13.3",".","1.9",".",".","12.4",".",".",".",".",".",".",".","."
"Advanced Legal Writing","808
001","","16","1.438","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","","41","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Business Organizations I","817
001","","73","1.528","23.3",".","19.2",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Bankruptcy Law","821
001","","38","0.794","5.3",".","13.2",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824
001","","69","1.750","31.9",".","11.6",".",".",".",".","7.2",".",".",".",".",".",".",".","."
"International Law","827
001","","48","1.896","20.8",".","35.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Land Use Controls","830
001","","18","1.389","22.2",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Transactions II","838
001","","6","1.000",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation II","840
001","","21","0.850","9.5",".","14.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Water Rights Law","845
001","","21","1.105","14.3",".","14.3",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","849
001","","16","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","12.5"
"","849
002","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","849
003","","15","",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".",".",".","."
"Pre-Trial Advocacy","Course Total","","44","",".",".",".",".",".",".",".","93.2","2.3",".",".",".",".",".",".","4.5"
"","850
001","","64","1.016","14.1",".","12.5",".","3.1",".",".","1.6",".",".",".",".",".",".",".","."
"","850
003","","8","1.375","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","72","1.044","15.3",".","12.5",".","2.8",".",".","1.4",".",".",".",".",".",".",".","."
"","852
001","","17","",".",".",".",".",".",".",".","82.4",".",".",".",".",".",".",".","17.6"
"","852
003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
004","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","852
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","","53","",".",".",".",".",".",".",".","94.3",".",".",".",".",".",".",".","5.7"
"","854
101","","10","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 368 of 476",""
