"FOLKLORE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","","182","3.786","83.5","7.1","3.3","1.1","1.1","0.5","2.2",".",".",".",".",".","1.1",".",".","."
"","102
001","","42","3.869","88.1","2.4","7.1",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","29","3.431","44.8","20.7","20.7","10.3",".","3.4",".",".",".",".",".",".",".",".",".","."
"Intro US Ethnic/Am Ind Studies","Course Total","","71","3.690","70.4","9.9","12.7","4.2","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","90","3.617","64.4","11.1","17.8","1.1","3.3","2.2",".",".",".",".",".",".",".",".",".","."
"","210
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","210
002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","","8","3.438","50.0","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","210
004","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","","42","3.798","81.0","7.1","7.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","215
001","","29","3.839","65.5","31.0",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"","215
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","215
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem Topics in Folklore","Course Total","","36","3.828","66.7","25.0",".",".","2.8",".",".","2.8",".",".",".",".","2.8",".",".","."
"Interm Topics in Folklore","315
001","","45","3.905","84.4","2.2","4.4","2.2",".",".",".","2.2",".",".",".",".","4.4",".",".","."
"Afro Asian Improv","319
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vampire in Literature and Film","327
001","","77","3.640","63.6","16.9","10.4","3.9",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"The Nordic Storyteller","345
001","","22","3.595","36.4","45.5","9.1","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"Adv Topics in Folklore","415
001","","22","3.625","40.9","36.4","9.1","4.5",".",".",".","9.1",".",".",".",".",".",".",".","."
"Topics American Folklore","430
001","","17","3.559","58.8","17.6","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".","."
